objid,ra,dec
SSTSL2 J152742.67+023551.8,231.927823,2.597747
SSTSL2 J053049.72-670554.9,82.707184,-67.098598
SSTSL2 J153607.88+384214.4,234.032847,38.704015
SSTSL2 J224656.98+602924.5,341.737456,60.490152
SSTSL2 J022523.15-733726.6,36.346464,-73.624064
SSTSL2 J012412.12-741735.2,21.050533,-74.293111
SSTSL2 J122150.00-632440.1,185.458353,-63.411157
SSTSL2 J020521.88-751346.5,31.341198,-75.229589
SSTSL2 J044816.37-663940.6,72.068211,-66.661293
SSTSL2 J222424.77+602910.6,336.10324,60.486282
SSTSL2 J012547.18-712738.2,21.446606,-71.460636
SSTSL2 J174731.75+052931.4,266.882317,5.492057
SSTSL2 J010741.41-742546.6,16.922553,-74.429621
SSTSL2 J044516.30-680129.1,71.317932,-68.024751
SSTSL2 J193053.19+162533.9,292.721629,16.426085
SSTSL2 J182727.87-050921.3,276.866158,-5.15593
SSTSL2 J122842.51-801710.7,187.177133,-80.286323
SSTSL2 J043826.46-702456.6,69.610282,-70.415748
SSTSL2 J162750.81+421423.2,246.961718,42.23979
SSTSL2 J051919.13-655917.7,79.829713,-65.988271
SSTSL2 J223231.50+610159.1,338.131264,61.033089
SSTSL2 J022145.88-742549.1,35.441191,-74.430306
SSTSL2 J044740.80-684318.4,71.920024,-68.721795
SSTSL2 J044115.15-685345.9,70.313141,-68.896106
SSTSL2 J224016.36+604741.7,340.068188,60.79493
SSTSL2 J162539.59+423833.4,246.414982,42.642623
SSTSL2 J013249.09-725229.0,23.204551,-72.87474
SSTSL2 J070300.74-033613.8,105.75309,-3.603849
SSTSL2 J013612.61-742458.3,24.052546,-74.416214
SSTSL2 J054755.36-684711.3,86.980676,-68.786474
SSTSL2 J004953.50-735350.7,12.472942,-73.897425
SSTSL2 J015005.23-741931.0,27.521829,-74.3253
SSTSL2 J171606.30+602224.4,259.026285,60.373447
SSTSL2 J171818.80+741816.4,259.578373,74.30457
SSTSL2 J123248.51-705733.5,188.202135,-70.959309
SSTSL2 J172425.35+601756.0,261.105663,60.29891
SSTSL2 J011050.61-711730.0,17.710879,-71.291694
SSTSL2 J003920.31-741533.4,9.834634,-74.259291
SSTSL2 J222803.12+583138.0,337.013013,58.527226
SSTSL2 J021420.97-751903.5,33.587388,-75.317654
SSTSL2 J020528.32-744554.5,31.368041,-74.765154
SSTSL2 J194309.98+245706.7,295.791619,24.951874
SSTSL2 J043013.22+243157.3,67.555091,24.532603
SSTSL2 J130132.30-771038.0,195.384613,-77.177236
SSTSL2 J180230.73+583738.4,270.628043,58.62734
SSTSL2 J011727.12-714607.3,19.363009,-71.768718
SSTSL2 J220206.61+582034.5,330.527559,58.342944
SSTSL2 J055528.35-692558.4,88.868157,-69.432899
SSTSL2 J013347.72-713408.5,23.448844,-71.569042
SSTSL2 J194950.40+261254.9,297.460002,26.21527
SSTSL2 J044256.40-690551.2,70.73503,-69.097557
SSTSL2 J221311.22+701231.7,333.296765,70.208821
SSTSL2 J014710.27-740622.5,26.79281,-74.106272
SSTSL2 J014739.24-740604.2,26.913538,-74.101173
SSTSL2 J045649.52-705257.8,74.206366,-70.882743
SSTSL2 J190055.07+023119.8,285.229497,2.522194
SSTSL2 J015630.56-745727.5,29.127364,-74.957647
SSTSL2 J194038.90+233854.0,295.162108,23.648334
SSTSL2 J194254.92+252157.4,295.72884,25.365965
SSTSL2 J015853.77-731246.1,29.724058,-73.212808
SSTSL2 J052315.37-710056.1,80.814074,-71.015597
SSTSL2 J004955.34-743434.3,12.480592,-74.576198
SSTSL2 J033458.09-285803.1,53.742076,-28.967532
SSTSL2 J110156.15+562618.3,165.483989,56.438441
SSTSL2 J105413.69-615616.3,163.557068,-61.937882
SSTSL2 J020916.03-751259.2,32.316804,-75.21646
SSTSL2 J172323.72+594323.5,260.848857,59.723218
SSTSL2 J160337.69+550241.1,240.907058,55.044775
SSTSL2 J061239.09-065007.6,93.162905,-6.835459
SSTSL2 J014705.36-744849.6,26.772355,-74.8138
SSTSL2 J223234.75+590743.9,338.14481,59.128877
SSTSL2 J161226.21+214645.1,243.109216,21.779207
SSTSL2 J083431.31-502355.8,128.630472,-50.398848
SSTSL2 J022736.84-733831.8,36.903526,-73.642189
SSTSL2 J014538.52-742726.8,26.410502,-74.457451
SSTSL2 J161316.59+552126.3,243.319154,55.35733
SSTSL2 J193428.30+215630.8,293.61793,21.94189
SSTSL2 J013207.62-725617.3,23.031788,-72.938141
SSTSL2 J162753.52+422639.2,246.973025,42.444225
SSTSL2 J020814.25-743122.2,32.059416,-74.522845
SSTSL2 J133237.98+624516.2,203.158278,62.754519
SSTSL2 J190359.86-372502.3,285.999426,-37.417306
SSTSL2 J115657.17-615049.2,179.238226,-61.84701
